what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1393758476842
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1393758480386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758615611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758631991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758633089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758671296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758672275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758814861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758815923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758816323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758818241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758844803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758845745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758847063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758847531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758855083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758855931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758856595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758857396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758859508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758860189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758873451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758875559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758930084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758930920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758935571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758936451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758963228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758963935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393758986558
