what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393760421880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393760432245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393760433009
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393760437889
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393760442966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393760448822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393760478794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393760483097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393760485477
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393760486518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393760506142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393760544087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393760545597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393760546115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393760546901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393760547619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393760548139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393760548685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393760549505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393760595584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393760596195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393760597266
